objectid,artistid,publication_date_messy,date,catalog,catalog_2_orig_ref,description,page_header,title,series,creator,signature,seal,date_text,publisher,carver,printer,impression_quality,colors,condition,genre,misc,format_print,size_sheet,size_image,lit//ref lit,collections,location,latitude,longitude,image_small,image_thumb,filename,type,format,print_link
ihl-1950,,"Pub. Date  September 29, 1894 (Meiji 27) 明治廿七年廿九月",1894,IHL.1950,IHL Catalog  #1950,Title (Description)  Illustration of a Scouting Patrol in a Skirmish in the Vicinity of Port Arthur 旅順口附近我斥候進撃之図  Ryojunkō fukin waga sekkō shingeki no zu,(Description)  Illustration of a Scouting Patrol in a Skirmish in the Vicinity of Port Arthur 旅順口附近我斥候進撃之図  Ryojunkō fukin waga sekkō shingeki no zu,(Description)  Illustration of a Scouting Patrol in a Skirmish in the Vicinity of Port Arthur 旅順口附近我斥候進撃之図  Ryojunkō fukin waga sekkō shingeki no zu,, Utagawa Kokunimasa (1874–1944),,,"Pub. Date  September 29, 1894 (Meiji 27) 明治廿七年廿九月","長谷川園吉 Hasegawa Sonokichi [Marks: 30-046, ref. 071]",,,,Colors  excellent,Condition  good - backing paper; three sheets attached; minor loss where sheets are attached,"Genre  nishiki-e, senso-e",,Format  vertical oban triptych,H x W Paper   14 5/16 x 27 1/2 in.  (36.4 x 69.9 cm),H x W Image  14 1/8 x 27 1/4 in. (35.9 x 69.2 cm),Literature,Collections This Print  British Library Shelfmark 16126.d.2(66),,,,ihl-1950_sm.jpg,ihl-1950_th.jpg,ihl-1950.jpg,Image;StillImage,image/jpeg,
ihl-1951,, March 1891 (Meiji 24) 明治廿四年三月 日 出版,1891,IHL.1951,IHL Catalog  #1951,Title (Description)  Ashiya Dōman Ōuchi Kagami 蘆屋道満大内鑑  A Courtly Mirror of Ashiya Dōman) Also seen translated as Mirror of the Imperial Court during the time of Ashiya Dōman,(Description)  Ashiya Dōman Ōuchi Kagami 蘆屋道満大内鑑  A Courtly Mirror of Ashiya Dōman) Also seen translated as Mirror of the Imperial Court during the time of Ashiya Dōman,(Description)  Ashiya Dōman Ōuchi Kagami 蘆屋道満大内鑑  A Courtly Mirror of Ashiya Dōman) Also seen translated as Mirror of the Imperial Court during the time of Ashiya Dōman,, Utagawa Kunimasa IV (1848-1920),,, March 1891 (Meiji 24) 明治廿四年三月 日 出版,Tusjiokaya Kamekichi [Marks pub. ref. 549; seal not shown] seal reads 綱島亀吉 Tsunajima Kamekichi  (the family name),,,, Colors  excellent,Condition  good - three sheets joined; unbacked; minor soiling; minor wrinkling,Genre  ukiyo-e; yakusha-e,,Format  vertical oban triptych,H x W Paper   14 1/4 x 27 7/8 in. (36.2 x 70.8 cm),H x W Image  14 x 27 3/4 in. (35.6 x 70.5 cm),Literature,Collections This Print,,,,ihl-1951_sm.jpg,ihl-1951_th.jpg,ihl-1951.jpg,Image;StillImage,image/jpeg,
ihl-1952,, 1946,1946,IHL.1952,IHL Catalog  #1952,日光戰場原 Nikko Senjōgahara  (as titled in table of contents),日光戰場原 Nikko Senjōgahara  (as titled in table of contents),日光戰場原 Nikko Senjōgahara  (as titled in table of contents),Book  Nihon no sansui 日本の山水,   Maekawa Senpan (1888-1960),"   センパン [""senpan"" in katakana]", not sealed, 1946,published by 富岳本社 Fugaku honsha (as shown on book's colophon)left: seal appearing on print's verso reading:高見澤本社版 [Takamizawa honsha han within the Fugaku honsha seal],,,,Colors  excellent,Condition  excellent - some foxing upper left corner,Genre  sosaku hanga (creative prints),,Format  FSC-GR-780.393.1-2,H x W Paper  6 13/16 x 5 9/16 in. (17.3 x 14.1 cm ),H x W Image  6 1/8 x 4 11/16 in. (15.6 x 11.9 cm),Reference Literature,Collections This Print  Smithsonian Institution Freer and Sackler Galleries FSC-GR-780.393.1-2,,,,ihl-1952_sm.jpg,ihl-1952_th.jpg,ihl-1952.jpg,Image;StillImage,image/jpeg,
ihl-1953,, originally 1929 in the series One Hundred Views of New Tokyo (Shin Tokyo hyakkei). Again in 1945 using recarved blocks for the series Scenes of Last Tokyo (Tokyo kaiko zue),1929,IHL.1953,IHL Catalog  #1953,Title Akasaka Palais 赤坂離宮  label affixed to folder reading: 赤坂離宮   平塚運一 Akasaka riky ū  Hiratsuka Un'ichi,Akasaka Palais 赤坂離宮  label affixed to folder reading: 赤坂離宮   平塚運一 Akasaka riky ū  Hiratsuka Un'ichi,Akasaka Palais 赤坂離宮  label affixed to folder reading: 赤坂離宮   平塚運一 Akasaka riky ū  Hiratsuka Un'ichi, Scenes of Last Tokyo (Tokyo kaiko zue 東京回顧圖會),   Hiratsuka Un'ichi (1895-1997),   unsigned,運一 印 un'ichi in, originally 1929 in the series One Hundred Views of New Tokyo (Shin Tokyo hyakkei). Again in 1945 using recarved blocks for the series Scenes of Last Tokyo (Tokyo kaiko zue),"  Fugaku Shuppansha 富岳出版社, Tokyo, Uemura Masurō 上村益郎 publisher",,Printer  Hirai Kōichi 平井孝一,Impression  excellent,Colors  good,Condition good - in original folder which displays toning.,Genre  sosaku-hanga (creative print),Miscellaneous  Reprinted for this series from recut blocks of original 1929 image published as part of the series One Hundred Views of New Tokyo (Shin Tokyo hyakkei).,Format  chuban,H x W Paper  7 13/16 x 10 1/4 in. (19.8 x 26 cm),H x W Image  7 3/16 x  9 9/16 in. (18.3 x 24.3 cm),"Reference Literature  The Artist's Touch, The Craftsman's Hand: Three Centuries of Japanese Prints from the Portland Art Museum, Maribeth Graybill, Portland Art Museum, Oregon, 2011, p. 295; Terrific Tokyo: A Panorama in Prints from the 1860s to the 1930s, Elizabeth de Sabato Swinton, Worcester Art Museum, 1999. p. 74.","Collections This Print  Art Institute Chicago 1990.337.2; Portland Art Museum 1996.31.2b; Worcester Art Museum 1987.79.4; Carnegie Museum of Art 89.28.709.2; The British Museum 1980,1227,0.18.2; Museum of Fine Arts, Boston 65.1085; Mead Art Museum at Amherst College AC 2008.63.2; Smithsonian Freer Gallery of Art and Arthur M. Sackler Gallery S1995.118.8",,,,ihl-1953_sm.jpg,ihl-1953_th.jpg,ihl-1953.jpg,Image;StillImage,image/jpeg,
ihl-1954,, 1922,1922,IHL.1954,IHL Catalog  #1954,"Title View of Ikejiri, Setagaya (世田谷 池尻 風景)","View of Ikejiri, Setagaya (世田谷 池尻 風景)","View of Ikejiri, Setagaya (世田谷 池尻 風景)",,   Hiratsuka Un'ichi (1895-1997),  un-ichi in pencil,"Un seal, within block lower right", 1922,  self-published,,,Impression  excellent,Colors  excellent,Condition  excellent,Genre  sosaku hanga (creative print),Miscellaneous  printed on a thin translucent paper,Format  chuban,H x W Paper  9 9/16 x 7 1/2 in. (24.3 x 19.1 cm),H x W Image  6 5/8 x 4 13/16 in. (16.8 x 12.2 cm),Reference Literature,Collections This Print  Art Institute Chicago 2003.351,,,,ihl-1954_sm.jpg,ihl-1954_th.jpg,ihl-1954.jpg,Image;StillImage,image/jpeg,
ihl-1955,,"Printed on April 18, 1904 / Issued on April 22, 1904明治三十七年四月十八日印刷 /  仝 年仝月廿二日発行",1904-04-18,IHL.1955,IHL Catalog  #1955,Title  Aridōshi 蟻通, Aridōshi 蟻通, Aridōshi 蟻通, Nōgakuzue 能樂圖繪 (Illustrations of Noh),   Tsukioka Kōgyo (1869-1927),  Kōgyo 耕漁," Red letter in an eddy shape: 歴山 [Rekizan], as shown above","Printed on April 18, 1904 / Issued on April 22, 1904明治三十七年四月十八日印刷 /  仝 年仝月廿二日発行", Matsuki Heikichi (Daikokuya Heikichi 大黒屋平) [Marks: pub. ref. 029]Address 日本橋区吉川町二番地　松木平吉 followed by Daikokuya seal.  ,,,Impression  excellent,Colors  excellent,Condition  excellent,Genre  ukiyo-e; 能楽図絵 Nōgaku zue [Noh play picture],,Format  ōban yoko-e,H x W Paper  10 x 14 5/8 in. (25.4 x 37.1 cm),H x W Image  8 15/16 x 13 in. (22.7 x 33 cm) area within printed black border,Reference Literature,"Collections This Print  Art Institute Chicago 1939.2258.166 (February 5, 1900); University of Pittsburgh 20091209-kogyo-0352 (c. 1900); Ruth Chandler Williamson Gallery, Scripps College 2009.7.16 (?)",,,,ihl-1955_sm.jpg,ihl-1955_th.jpg,ihl-1955.jpg,Image;StillImage,image/jpeg,
ihl-1956,,"Printed on April 18, 1904 / Issued on April 22, 1904明治三十七年四月十八日印刷 /  仝 年仝月廿二日発行",1904-04-18,IHL.1956,IHL Catalog  #1956,Title  Hakurakuten 白楽天, Hakurakuten 白楽天, Hakurakuten 白楽天, Nōgakuzue 能樂圖繪 (Illustrations of Noh),   Tsukioka Kōgyo (1869-1927),  Kōgyo 耕漁,"  Red letter in a square shape: 耕／漁 [Kō / gyo]. , as shown above [ref. #34, p. 171 in The Beauty of Silence]","Printed on April 18, 1904 / Issued on April 22, 1904明治三十七年四月十八日印刷 /  仝 年仝月廿二日発行", Matsuki Heikichi (Daikokuya Heikichi 大黒屋平) [Marks: pub. ref. 029]Address 日本橋区吉川町二番地　松木平吉 followed by Daikokuya seal.  ,,,Impression  excellent,Colors  excellent,Condition  good - soiling,Genre  ukiyo-e; 能楽図絵 Nōgaku zue [Noh play picture],,Format  ōban yoko-e,H x W Paper  10 x 14 5/8 in. (25.4 x 37.1 cm),H x W Image  8 15/16 x 13 in. (22.7 x 33 cm) area within printed black border,Reference Literature,"Collections This Print  Art Institute Chicago 1939.2258.77 (July 5, 1898); University of Pittsburgh 20091209-kogyo-0248 (c. 1898); Ritsumeikan Art Research Center (February 15, 1898)",,,,ihl-1956_sm.jpg,ihl-1956_th.jpg,ihl-1956.jpg,Image;StillImage,image/jpeg,
ihl-1957,, re-printed from re-carved blocks in 1936 (originally 1874),1874,IHL.1957,IHL Catalog  #1957, Picture of the Famous Kobe Steam Train from the Kobe Old Print Collection 神戸名所鉄道蒸気車之図  Kobe meisho tetsudō jōkisha no zu, Picture of the Famous Kobe Steam Train from the Kobe Old Print Collection 神戸名所鉄道蒸気車之図  Kobe meisho tetsudō jōkisha no zu, Picture of the Famous Kobe Steam Train from the Kobe Old Print Collection 神戸名所鉄道蒸気車之図  Kobe meisho tetsudō jōkisha no zu, Kobe Old Print Collection 神戸古版畫集, Hasegawa Sadanobu II (1848-1940),小信 画 Konobu ga, not sealed, re-printed from re-carved blocks in 1936 (originally 1874)," 神戸古版畫同好會 Kobe Old Print Association (originally Yaoya Zensuke 八尾屋善助, whose publishing information in the lower right corner of the print has been maintained in this collection's 1936 re-printed version)",  ,,Impression  excellent,Colors  excellent,Condition  poor - paper loss; trimmed to image on sides and bottom; color offsetting; not backed; vertical center fold with paper loss bottom,Genre  nishiki-e; kaika-e,,Format  horizontal large tanzaku 大短冊判横,H x W Paper   7 3/16 x 15 1/2 in. (18.3 x 39.4 cm),H X W Image  5 7/8 x 13 3/4 in. (14.9 x 34.9 cm),Literature,Collections This Print  Cultural Heritage Online (original 1874 print); The Pushkin State Museum of Fine Arts А-30482 (original 1874 print),,,,ihl-1957_sm.jpg,ihl-1957_th.jpg,ihl-1957.jpg,Image;StillImage,image/jpeg,
ihl-1958,, 1980,1980,IHL.1958,IHL Catalog  #1958," Vive La  ヴィヴ・ラ note: also seen titled as Vive La France; 桌上的花 (Flowers on the Table); Hanga-do catalog No. 104 titled the print ""Anemone"" as shown above."," Vive La  ヴィヴ・ラ note: also seen titled as Vive La France; 桌上的花 (Flowers on the Table); Hanga-do catalog No. 104 titled the print ""Anemone"" as shown above."," Vive La  ヴィヴ・ラ note: also seen titled as Vive La France; 桌上的花 (Flowers on the Table); Hanga-do catalog No. 104 titled the print ""Anemone"" as shown above.", Kawanishi hide hangashū. 2   川西英版画集. 2,   Kawanishi Hide (1894-1965),   not signed,英 Hide, 1980, 形象社 Keishōsha,,,,Colors  excellent,Condition  good - printers marks,Genre  sosaku hanga,,,H x W Paper  21 3/8 x 14 1/2 in. (54.3 x 36.8 cm),H x W Image  19 x 13 1/8 in. (48.3 x 33.3 cm),Reference Literature,Collections This Print,,,,ihl-1958_sm.jpg,ihl-1958_th.jpg,ihl-1958.jpg,Image;StillImage,image/jpeg,
ihl-1959,,"明治廿三年八月一日印刷 Meiji 23rd year, 8th month, first day, printed note: publication/issuance date left blank August 1890",1890,IHL.1959,IHL Catalog  #1959," Wang Xiang, No. 7 (Catching Fish for His Stepmother in Winter)   第七號王祥"," Wang Xiang, No. 7 (Catching Fish for His Stepmother in Winter)   第七號王祥"," Wang Xiang, No. 7 (Catching Fish for His Stepmother in Winter)   第七號王祥", Juxtaposed Pictures of Twenty-four Paragons of Filial Piety   二十四孝見立画合 nijūshikō mitate awase   [also seen translated as The Twenty-four Paragons of Filial Piety with Modern Parallels; A Contrasting Parody of the Twenty-four Paragons of Filial Devotion and Parody of 24 Paragons of Filial Piety], Yōshū Chikanobu (1838-1912),楊洲周延 Yōshū Chikanobu, no artist's seal,"明治廿三年八月一日印刷 Meiji 23rd year, 8th month, first day, printed note: publication/issuance date left blank August 1890",長谷川常二郎 Hasegawa Tsunejirō (seal of the firm Shimizuya Tsunejirō)[Marks: pub. ref. 496; seal not shown], Hori Chō 彫朝,,,Colors  excellent,"Condition  good – original album backing, light toning and minor soiling",Genre  ukiyo-e,,Format  oban,H x W Paper   13 15/16 x 9 3/8 in. (35.4 x 24.8 cm),H x W Image  13 5/16 x 8 13/16 in. (33.8 x 22.4 cm),Literature,"Collections This Print  Scripps College SC98.4.17; Princeton University Library, Cotsen Children's Library (CTSN). 55216 [entire bound album of 24 prints]",,,,ihl-1959_sm.jpg,ihl-1959_th.jpg,ihl-1959.jpg,Image;StillImage,image/jpeg,
ihl-1960,,"明治廿三年 月 日 印刷Meiji 23rd year, printednote: publication/issuance date left blankAugust 1890",1890,IHL.1960,IHL Catalog  #1960," Tanzi, No. 10 (He Fed His Parent's Doe's Milk)  第十號剡子"," Tanzi, No. 10 (He Fed His Parent's Doe's Milk)  第十號剡子"," Tanzi, No. 10 (He Fed His Parent's Doe's Milk)  第十號剡子", Juxtaposed Pictures of Twenty-four Paragons of Filial Piety   二十四孝見立画合 nijūshikō mitate awase  [also seen translated as The Twenty-four Paragons of Filial Piety with Modern Parallels; A Contrasting Parody of the Twenty-four Paragons of Filial Devotion and Parody of 24 Paragons of Filial Piety], Yōshū Chikanobu (1838-1912),楊洲周延 Yōshū Chikanobu, no artist's seal,"明治廿三年 月 日 印刷Meiji 23rd year, printednote: publication/issuance date left blankAugust 1890",長谷川常二郎 Hasegawa Tsunejirō (seal of the firm Shimizuya Tsunejirō)[Marks: pub. ref. 496; seal not shown], Hori Chō 彫朝,,,Colors  excellent,"Condition  good – original album backing, light toning and minor soiling",Genre  ukiyo-e,,Format  oban,H x W Paper   13 15/16 x 9 3/8 in. (35.4 x 24.8 cm),H x W Image  13 1/4 x 8 7/8 in. (33.7 x 22.5 cm),"Literature   Chikanobu: Modernity and Nostalgia in Japanese Prints, Bruce A. Coats, Hotei Publishing, 2006, p. 156, pl. 173.","Collections This Print  Scripps College SC98.4.20; Princeton University Library, Cotsen Children's Library (CTSN). 55216 [entire bound album of 24 prints]",,,,ihl-1960_sm.jpg,ihl-1960_th.jpg,ihl-1960.jpg,Image;StillImage,image/jpeg,
ihl-1961,, between 1903 and 1916,1903,IHL.1961,IHL Catalog  #1961, Hotei 布袋, Hotei 布袋, Hotei 布袋, from an unknown volume of the painting training course book 繪画講習録 Kaiga kōshū roku,   Utagawa Yoshimune II (1863-1941),   not signed,Yoshimune in lower right, between 1903 and 1916,  大日本絵画講習会 Dai Nihon Kaiga Kōshūkai  ,,,Impression  excellent,Colors  excellent,Condition  excellent,Genre,,Format  chuban,H x W Paper  7 1/8 x 8 9/16 in. (18.4 x 21.7 cm),,Reference Literature,Collections This Print,,,,ihl-1961_sm.jpg,ihl-1961_th.jpg,ihl-1961.jpg,Image;StillImage,image/jpeg,
ihl-1962,, not dated,,IHL.1962,IHL Catalog  #1962,Title  Miyajima in Rain 雨の宮島, Miyajima in Rain 雨の宮島, Miyajima in Rain 雨の宮島, from the portfolio 瀬戸内三題 (Three Subjects of Setouchi),   Ogyū Tensen (1882-1947),  天泉 絵  Tense-e, unread artist's (see above), not dated, Watanabe Publishing,,,,Colors  excellent,Condition  excellent,Genre  shin hanga,,,H x W Paper  10 1/16 x 12 in. (25.6 x 30.5 cm),H x W Image  9 1/2 x 10 3/4 in. (24.1 x 27.3 cm),Reference Literature,Collections This Print  Nihonmatsu City Board of Education Museum Collections 003,,,,ihl-1962_sm.jpg,ihl-1962_th.jpg,ihl-1962.jpg,Image;StillImage,image/jpeg,
ihl-1963,, March 1875,1875,IHL.1963,IHL Catalog  #1963," Wagō Soga Homare no Fujiyama (also referred to as Megumi Soga Homare no Fujiyama and Wagō Soga Homare no Fuji)  和合曽我誉富士  Note: I have seen the play's title translated into English as Harmonious Soga, A Mountain of Honor"," Wagō Soga Homare no Fujiyama (also referred to as Megumi Soga Homare no Fujiyama and Wagō Soga Homare no Fuji)  和合曽我誉富士  Note: I have seen the play's translated into English as Harmonious Soga, A Mountain of Honor"," Wagō Soga Homare no Fujiyama (also referred to as Megumi Soga Homare no Fujiyama and Wagō Soga Homare no Fuji)  和合曽我誉富士  Note: I have seen the play's translated into English as Harmonious Soga, A Mountain of Honor", N/A, Utagawa Yoshitaki (1841-1899),Yoshitaki histsu 芳滝筆from the three sheets of the triptych, not sealed, March 1875,Awabun han 阿波文抜 owner: Awaya Bunzō 阿波屋文蔵 firm name: Juōdō 寿桜堂 [Marks: pub. ref. 022; seal ref. 25-061]publisher's marks from the three sheets of the triptych,,,,Colors  excellent,"Condition  fair - extensive paper damage to right side of center sheet, repaired verso; minor paper damage left edge of right sheet; paper repair upper right edge of left sheet; overall light toning",Genre  ukiyo-e; yakusha-e; kamigata-e,,Format  vertical chūban triptych,H x W Paper   right: 10 1/2 x 7 1/16 in. (26.7 x 17.9 cm)  center: 10 3/16 x 7 9/16 in. (25.9 x 19.2 cm) left: 10 1/4 x 7 3/8 in. (26 x 18.7 cm),H x W Image  right: 9 3/4 x 7 in. (24.8 x 17.8 cm) center: 9 5/8 x 7 1/16 in. (24.4 x 17.9 cm) left: 9 13/16 x 7 in. (24.9 x 17.8 cm),Literature,Collections This Print,,,,ihl-1963_sm.jpg,ihl-1963_th.jpg,ihl-1963.jpg,Image;StillImage,image/jpeg,
ihl-1964,, August 1915,1915,IHL.1964,IHL Catalog  #1964,"Title [Onoe] Kikugorō [VI] [in the role of]  Jūjirō ( 菊五郎) 十次郎 ( as printed on page print is tipped to, as shown below)","[Onoe] Kikugorō [VI] [in the role of]  Jūjirō ( 菊五郎) 十次郎 ( as printed on page print is tipped to, as shown below)","[Onoe] Kikugorō [VI] [in the role of]  Jūjirō ( 菊五郎) 十次郎 ( as printed on page print is tipped to, as shown below)", Magazine: Shin Nigao (New Portraits) volume unknown 新似顔　第一年参編,   Yamamura Toyonari (1885-1942),  Kōka ga 耕花 画 Yamamura Kōka ga 山村耕花 畫, none, August 1915,  Nigaodō 似顔洞, Igami Bonkotsu (1875-1933),Igami Bonkotsu (1875-1933),Impression  excellent,Colors  excellent,Condition  excellent - light overall toning,Genre  shin hanga (new prints); nigao-e,,Format  koban,H x W Paper  print:  7 3/8 x 4 1/2 in. (18.7 x 11.4 cm)  mounting page: 10 x 7 in. (25.4 x 17.8 cm),,Reference Literature,"Collections This Print  The Tsubouchi Memorial Theatre Museum of Waseda University 201-0475; The British Museum 1991,1112,0.193.3 (entire magazine, only front cover shown); Art Research Center Ritsumeikan University BM-SJ193-03 (British Museum's copy of entire magazine with all pages shown)",,,,ihl-1964_sm.jpg,ihl-1964_th.jpg,ihl-1964.jpg,Image;StillImage,image/jpeg,
ihl-1965,,Date  June 1915,1915,IHL.1965,IHL Catalog  #1965,Title (Description)  [Nakamura] Utaemon [V] in the role of Agemaki  歌右衛門の揚巻 Utaemon no Agemaki,(Description)  [Nakamura] Utaemon [V] in the role of Agemaki  歌右衛門の揚巻 Utaemon no Agemaki,(Description)  [Nakamura] Utaemon [V] in the role of Agemaki  歌右衛門の揚巻 Utaemon no Agemaki, Magazine: Shin Nigao (New Portraits) volume one 新似顔　第一年初編,,應需芳年\画 Ōju Yoshitoshi ga with Taiso 大蘇 seal (The Chastity of ShihinoShinasa)應需芳年\画 Ōju Yoshitoshi ga with Taiso 大蘇 seal (The Decorum of Gekiketsu) 應需芳年画 Ōju Yoshitoshi ga [typical on all black and white illustrations],,Date  June 1915, Nigaodō 似顔洞, Igami Bonkotsu (1875-1933),Printer  Nakamura Sanjirō 中村三次郎,Impression  excellent,Colors  excellent,Condition  good - overall toning,Genre  shin hanga (new prints); nigao-e,,Format  koban,H x W Paper  7 1/4 x 4 7/8 in. (18.4 x 12.4 cm),H x W Image  6 3/8 x 4 3/16 in. (16.2 x 10.6 cm),"Reference Literature Catalogue Raisonné – Ukiyoe Kabuki Gi Han Ga: Shunsen Natori (The Skill of Natori Shunsen in Kabuki Prints), Kushigata Municipal Shunsen Museum, Kushigata, Japan, 1991, p.92 number 166.","Collections This Print  The British Museum 1991,1112,0.193.1 (entire magazine, only front cover shown); Art Research Center Ritsumeikan University BM-SJ193-01 (British Museum's copy of entire magazine with all pages shown)",,,,ihl-1965_sm.jpg,ihl-1965_th.jpg,ihl-1965.jpg,Image;StillImage,image/jpeg,
ihl-1966,,,,IHL.1966,IHL Catalog #1966,,,,,,,,,,,,,,,,,,,,,,,,,ihl-1966_sm.jpg,ihl-1966_th.jpg,ihl-1966.jpg,Image;StillImage,image/jpeg,
ihl-1967,, 1942,1942,IHL.1967,IHL Catalog  #1967,Title  Gamō Kunpei 蒲生君平, Gamō Kunpei 蒲生君平, Gamō Kunpei 蒲生君平, Thirty Great Loyalists of Early Modern Times 近世勤皇家三十傑,   Isoda Chōshū (1880-1947),  長秋   Chōshū, unread as shown above, 1942," embossed in right margin 不許複製 all rights reserved 勤皇文化振興會 Kinnō bunka shin kōkai [Society for the Promotion of Loyalist Culture] ナガヤ作 [nagaya saku] 東々五八八 [toto? 588] note: The significance of this oval seal beneath the Kinnō bunka shin kōkai seal which appears on several prints in this series is unknown. It might be a publisher's seal, as this print does not carry the Watanabe seal as do other prints in the series.", unknown,Printer  unknown,Impression  excellent,Colors  excellent,Condition  excellent,Genre  nishiki-e,,Format  ōban,H x W Paper  9 11/16 x 15 in. (24.6 x 38.1 cm),H x W Image  9 1/2 x 14 1/4 in. (24.1 x 36.2 cm),Reference Literature,Collections This Print,,,,ihl-1967_sm.jpg,ihl-1967_th.jpg,ihl-1967.jpg,Image;StillImage,image/jpeg,
ihl-1968,, 1942,1942,IHL.1968,IHL Catalog  #1968,Title  Hashimoto Sanai 橋本左内, Hashimoto Sanai 橋本左内, Hashimoto Sanai 橋本左内, Thirty Great Loyalists of Early Modern Times 近世勤皇家三十傑,   Shimada Bokusen (1867–1943),  墨仙   Bokusen, 墨僊 Bokusen (see above), 1942," embossed in right margin 不許複製 all rights reserved 勤皇文化振興會 Kinnō bunka shin kōkai [Society for the Promotion of Loyalist Culture] ナガヤ作  [nagaya saku]   東々五八八 [toto? 588] note: The significance of this oval seal beneath t he Kinnō bunka shin kōkai seal which appears on several of prints in this series is unknown. It might be a publisher's seal, as this print does not carry the Watanabe seal as do other prints in the series.", unknown,Printer  unknown,Impression  excellent,Colors  excellent,Condition  excellent,,,Format  oban,H x W Paper  10 x 15 3/8 in. (25.4 x 39.1 cm),H x W Image  9 1/2 x 14 in. (24.1 x 35.6 cm),Reference Literature,Collections This Print,,,,ihl-1968_sm.jpg,ihl-1968_th.jpg,ihl-1968.jpg,Image;StillImage,image/jpeg,
ihl-1969,, 1942,1942,IHL.1969,IHL Catalog  #1969,Title  Rai San'yō 頼山陽, Rai San'yō 頼山陽, Rai San'yō 頼山陽, Thirty Great Loyalists of Early Modern Times 近世勤皇家三十傑,   Ōta Chōu (1896-1958),  聴雨   Chōu, unread seal (see above), 1942, embossed in right margin 勤皇文化振興會 Kinnō bunka shin kōkai [Society for the Promotion of Loyalist Culture] embossed in left margin G-type seal of the Watanabe , unknown (likely a employed by Watanabe Publishing),Printer  unknown (likely a printer employed by Watanabe Publishing),Impression  excellent,Colors  excellent,Condition  excellent,,,Format  oban,H x W Paper  10 x 15 3/8 in. (25.4 x 39.1 cm),H x W Image  9 1/2 x 14 in. (24.1 x 35.6 cm),Reference Literature,Collections This Print  Honolulu Museum of Art 31638,,,,ihl-1969_sm.jpg,ihl-1969_th.jpg,ihl-1969.jpg,Image;StillImage,image/jpeg,
ihl-1970,, 1873,1873,IHL.1970,IHL Catalog  #1970, Thomas Carlyle カーライル, Thomas Carlyle カーライル, Thomas Carlyle カーライル, Legends of Great Westerners 泰西偉人伝, Utagawa Kuniteru II (1830-1874) [attributed to the school of], unsigned but attributed to the school of Utagawa Kuniteru II,of Artist  none, 1873, Ministry of Education (Monbushō 文部省) note: missing the Ministry of Education publishing seal reading 文部省製本所発行記 [published by Ministry of Education],,,,Colors  good,Condition  fair -  large stain on bottom right of print,Genre  ukiyo-e; kyōiku nishiki-e [full-color educational prints],,Format  oban,H x W Paper   13 3/4 x 9 5/16 in. (34.9 x 23.7 cm),H x W Image  13 1/2 x 9 1/8 in. (34.3 x 23.2 cm),Literature,Collections This Print University of Tsukuba library http://www.tulips.tsukuba.ac.jp/lib/ja/collection/rare-kyoiku-nishikie,,,,ihl-1970_sm.jpg,ihl-1970_th.jpg,ihl-1970.jpg,Image;StillImage,image/jpeg,
ihl-1971,, 1873,1873,IHL.1971,IHL Catalog  #1971, Richard Arkwright アークライト, Richard Arkwright アークライト, Richard Arkwright アークライト, Legends of Great Westerners 泰西偉人伝, Utagawa Kuniteru II (1830-1874) [attributed to the school of], unsigned but attributed to the school of Utagawa Kuniteru II by multiple sources,of Artist  none, 1873,seal of the Ministry of Education [Monbushō] reading 文部省製本所発行記 [published by Ministry of Education],,,,Colors  good,Condition  fair -  large stain on bottom right of print,Genre  ukiyo-e; kyōiku nishiki-e [full-color educational prints],,Format  oban,H x W Paper   13 3/4 x 9 5/16 in. (34.9 x 23.7 cm),H x W Image  13 1/2 x 9 1/8 in. (34.3 x 23.2 cm),Literature,Collections This Print University of Tsukuba library http://www.tulips.tsukuba.ac.jp/lib/ja/collection/rare-kyoiku-nishikie,,,,ihl-1971_sm.jpg,ihl-1971_th.jpg,ihl-1971.jpg,Image;StillImage,image/jpeg,
