objectid,temp sort,Note,Christin Newell,page_header,title,series,date_first_issued (cew new),date,date_text,creator,signature,seal,description,misc,publisher,carver,printer,Author (cew new),Editor (cew new),publication_date_messy,impression_quality,colors,condition,genre,format_print,size_image,size_sheet,lit//ref lit,collections,catalog,catalog_altform,catalog_2_orig_ref,location,latitude,longitude,type,format,filename,image_thumb,artistid (temporarily using for notes-cew),image_small,print_link
ihl-2027,,,CN Complete,"Various Ex Libris by Maekawa Senpan, c. 1950s",untitled,,"unknown, possible c. 1950s",1950,"unknown, possible c. 1950s",Maekawa Senpan 前川千帆 (1888-1960),not signed,"""千帆"" Senpan","IHL Catalog #2025, #2026, #2027, #2028, #2029

Five small book plates that were created for a collector of ex libris 蔵書票 with the name of S. Kagayama. Three of the bookplates show the collector's name in kanji characters, either 加賀山 (Kagayama) or 加賀山 蔵書 (Kagayama library) and the other two provide the collector's name in English, either Kagayama or S. Kagayama. 

Ex Libris and the Sōsaku Hanga Movement
Source: Modern Japanese Woodblock Prints - The Early Years, Helen Merritt, University of Hawaii Press, 1998, p. 272.

Early in the sōsaku-hanga movement both bookplates and New Year cards became popular. These required small designs and appealed to those who did not feel competent to handle large blocks. They were, however, also produced by major artists.

...[T]he modern enthusiasm for bookplates is traceable to Europe, as indicated by the Japanese use of the Latin term ""ex libris."" The European revival of bookplates [in the late 19th century] spread to Japan through an article by Emil Orlik in Myōjō in 1900 during his stay in Japan.
",,commissioned by the collector,"Carver likely the artist


 

 ",Printer likely the artist,,,"unknown, possible c. 1950s",Impression excellent,Colors excellent,Condition excellent,Genre sōsaku hanga,,,H x W Paper 3 3/4 x 2 3/8 in. (9.5 x 6 cm),,,IHL.2027,IHL.2027,IHL Catalog #2027,,,,Image;StillImage,image/jpeg,ihl-2027.jpg,ihl-2027_th.jpg,,ihl-2027_sm.jpg,
ihl-2028,,,CN Complete,"Various Ex Libris by Maekawa Senpan, c. 1950s",untitled,,"unknown, possible c. 1950s",1950,"unknown, possible c. 1950s",Maekawa Senpan 前川千帆 (1888-1960),not signed,"""センパン"" Senpan","IHL Catalog #2025, #2026, #2027, #2028, #2029

Five small book plates that were created for a collector of ex libris 蔵書票 with the name of S. Kagayama. Three of the bookplates show the collector's name in kanji characters, either 加賀山 (Kagayama) or 加賀山 蔵書 (Kagayama library) and the other two provide the collector's name in English, either Kagayama or S. Kagayama. 

Ex Libris and the Sōsaku Hanga Movement
Source: Modern Japanese Woodblock Prints - The Early Years, Helen Merritt, University of Hawaii Press, 1998, p. 272.

Early in the sōsaku-hanga movement both bookplates and New Year cards became popular. These required small designs and appealed to those who did not feel competent to handle large blocks. They were, however, also produced by major artists.

...[T]he modern enthusiasm for bookplates is traceable to Europe, as indicated by the Japanese use of the Latin term ""ex libris."" The European revival of bookplates [in the late 19th century] spread to Japan through an article by Emil Orlik in Myōjō in 1900 during his stay in Japan.
",,commissioned by the collector,"Carver likely the artist


 

 ",Printer likely the artist,,,"unknown, possible c. 1950s",Impression excellent,Colors excellent,Condition excellent,Genre sōsaku hanga,,,H x W Paper 1 15/16 x 2 5/8 in. (4.9 x 6.7 cm),,,IHL.2028,IHL.2028,IHL Catalog #2028,,,,Image;StillImage,image/jpeg,ihl-2028.jpg,ihl-2028_th.jpg,,ihl-2028_sm.jpg,
ihl-2029,,,CN Complete,"Various Ex Libris by Maekawa Senpan, c. 1950s",untitled,n.a.,"unknown, possible c. 1950s",1950,"unknown, possible c. 1950s",Maekawa Senpan 前川千帆 (1888-1960),not signed,no seal,"IHL Catalog #2025, #2026, #2027, #2028, #2029

Five small book plates that were created for a collector of ex libris 蔵書票 with the name of S. Kagayama. Three of the bookplates show the collector's name in kanji characters, either 加賀山 (Kagayama) or 加賀山 蔵書 (Kagayama library) and the other two provide the collector's name in English, either Kagayama or S. Kagayama. 

Ex Libris and the Sōsaku Hanga Movement
Source: Modern Japanese Woodblock Prints - The Early Years, Helen Merritt, University of Hawaii Press, 1998, p. 272.

Early in the sōsaku-hanga movement both bookplates and New Year cards became popular. These required small designs and appealed to those who did not feel competent to handle large blocks. They were, however, also produced by major artists.

...[T]he modern enthusiasm for bookplates is traceable to Europe, as indicated by the Japanese use of the Latin term ""ex libris."" The European revival of bookplates [in the late 19th century] spread to Japan through an article by Emil Orlik in Myōjō in 1900 during his stay in Japan.
",n.a.,commissioned by the collector,n.a.,n.a.,,,"unknown, possible c. 1950s",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,H x W Paper 3 1/4 x 2 5/8 in. (8.3 x 6.7 cm),n.a.,n.a.,IHL.2029,IHL.2029,IHL Catalog #2029,,,,Image;StillImage,image/jpeg,ihl-2029.jpg,ihl-2029_th.jpg,,ihl-2029_sm.jpg,
ihl-2030,,,CN Complete,Rakusei Saihō-ji 洛西 西芳寺Saihō-ji in Western Temple Kyoto,Rakusei Saihō-ji 洛西 西芳寺Saihō-ji in Western Temple Kyoto,,not dated,n.d.,n.d.,Itō Nisaburō 伊藤仁三郎 (1905-2001), not signed,not sealed,"While neither signed nor sealed, I have seen another impression of this print that carries the seal of the artist Itō Nisaburō in the lower right corner of the image. For another depiction of the grounds of this temple see Moss Garden (at Kokedera) by Kitaoka Fumio (1918-2007).",,内田版 Uchida han,,,,,not dated,Impression excellent,Colors excellent,Condition excellent,Genre shin hanga,Format horizontal ōban,H x W Image 10 5/8 x 15 3/4 in. (27 x 40 cm),H x W Paper 12 1/8 x 17 5/8 in. (30.1 x 44.8 cm),,,IHL.2030,IHL.2030,IHL Catalog #2030,,,,Image;StillImage,image/jpeg,ihl-2030.jpg,ihl-2030_th.jpg,,ihl-2030_sm.jpg,https://pages.uoregon.edu/jsmacollections/home/artists/ito-nisaburo-1905-2001/rakusei-saiho-ji.html
ihl-1945,,,,Shipping New Brew Sake in Settsu Province 同[摂津国]新酒荷出之図,Shipping New Brew Sake in Settsu Province 同[摂津国]新酒荷出之図,Dai Nippon Bussan Zue 大日本物産図会 (Products of Greater Japan),1877 (Meiji 10),1877,1877 (Meiji 10),Utagawa Hiroshige III 三代 歌川広重 (1842–1894),Andō Tokubei - artist's family name appearing in cartouche in the left margin.Full cartouche reads画工 大鋸町四番地 安藤徳兵エ[gakō Ōga machi yon banchi Andō Tokubei],none,Shipping New Brew Sake in Settsu Province 同[摂津国]新酒荷出之図,,Publishing information trimmed from the margin of this print.Ōkura Magobei 大倉孫兵衛 (Kin'eido; 1843-1921) [Marks: pub. ref. 627],,,,,1877 (Meiji 10),,Colors excellent,"Condition good - margins trimmed almost to image, normal misshapen size due tochirimenprocess",Genre nishiki-e; kaika-e,Format chūban,H x W Image 4 15/16 x 7 3/16 in. ( 12.5 x 18.3 cm),H x W Paper 5 1/2 x 7 9/16 in. (14 x 19.2 cm),Literature,Collections This Print,IHL.1945,IHL.1945,IHL Catalog #1945,,,,Image;StillImage,image/jpeg,ihl-1945.jpg,ihl-1945_th.jpg,,ihl-1945_sm.jpg,
ihl-2032,cew added 20220302 -needs extra cleaning,,CN Complete,"In Queue - 20th Century Woodblock Prints
Modern 20th Century Woodblock Prints
(Shin Hanga, Sosaku Hanga)
In the Collection - Not Yet Fully Documented
as of 9/1/2021
","Hallo, Miss Mao from the series China: A Collection of Woodblock Prints",China: A Collection of Woodblock Prints,,1980,1980,Kurosaki Akira 黒崎彰 (b. 1937),n.a.,n.a.,[woodblock and mixed media] ,n.a.,n.a.,n.a.,n.a.,,,,n.a.,n.a.,n.a.,n.a.,n.a.,image: 17 13/16 x 12 7/8 in.,sheet: 21 7/8 x 16 3/4 in.,n.a.,n.a.,IHL.2032,IHL.2032,IHL Catalog #2032,,,,Image;StillImage,image/jpeg,ihl-2032.jpg,ihl-2032_th.jpg,,ihl-2032_sm.jpg,
ihl-2033,,,,Roof Landscape 屋根の風景(Yane no Fūkei),Roof Landscape 屋根の風景(Yane no Fūkei),,1982,1982,1982,Konishi Seiichirō 小西誠一郎 (b. 1919),,,Title Roof Landscape 屋根の風景(Yane no Fūkei),,self-published (13 of 100),self carved自刻,Printer self printed自摺,,,1982,Impression excellent,Colors excellent,Condition excellent several spots of foxing visible in margins; light mat line,Genre sōsaku hanga,,H x W Image 19 3/8 x 14 5/8 in. (49.2 x 37.1 cm),H x W Paper 23 x 17 5/16 in. (58.4 x 44 cm),Reference Literature,Collections This Print,IHL.2033,IHL.2033,IHL Catalog #2033,,,,Image;StillImage,image/jpeg,ihl-2033.jpg,ihl-2033_th.jpg,,ihl-2033_sm.jpg,https://pages.uoregon.edu/jsmacollections/home/artists/konishi-seiichiro-b-1919/roof-landscape.html
ihl-2034,,,,"Scenes of the Inner Provinces, Yamato (Nara) Volume Kinai kenbutsuYamato (Nara) no maki 畿内見物 大和の卷","Scenes of the Inner Provinces,
Yamato (Nara), Volume 2 (畿内見物 大和の卷 Kinai kenbutsu Yamato no maki) ",,"February 5, 1911 明治四十四年二月五日 發行 ",1911,"Printed: February 1, 1911 明治四十四年二月一日 印刷; Published: February 5, 1911 明治四十四年二月五日 發行; Second edition published: September 1, 1911 明治四十四年九月一日 再版 ",Nakazawa Hiromitsu 中沢弘光 (1874-1964); Asai Chū 浅井忠 (1856-1907),,弘 Hiro seal appears on almost all woodblock illustrations and many of the sketch and painting reproductions,"Volume two of the three volume set of ""sketch tour"" books titled Kinai kenbutsu (Scenes of the Inner Provinces), published by Kanao Tanejirō (1879-1947) (the publishing house Bunendō) in 1911 and 1912.1 Volume 1, subtitled Kyōto, and volume 2, subtitled Yamato (Nara), were issued in 1911 and the third volume, subtitled Ōsaka, in 1912. The three volumes contain 57 stitched-in woodblock prints, as well as woodblock printed covers, end papers and slipcases, all but one of the woodblock designs by the Western-style artist Nakazawa Hiromitsu (1874-1964). While photogravure, and halftone and heliotype (collotype) reproductions of paintings and sketches by Hiromitsu, and a single heliotype of a painting by Asai Chū (1856-1907), far outnumber the woodblock prints, the quality of these reproductions varies and the true highlight of these volumes are the woodblock prints. ",,Kanao Tanejirō 發行者 金尾種次郎 of the publishing house Kanao Bun'endō 發兌元 金尾文淵堂 ,Maeda Gōji 前田剛二; Hasegawa Katsura 長谷川香木,Printer Nishimura Kumakichi 西村熊吉(woodblock prints only),"Takayasu Gekkō 高安月郊 (1869–1944); Susukida Kyūkin 薄田泣堇 (1877-1945); Yosano Akio 与謝, 野晶子 (1878-1942); Nakazawa Hiromitsu 中沢弘光 (1874-1964)",,"February 1, 1911 明治四十四年二月一日 印刷 February 5, 1911 明治四十四年二月五日 發行 September 1, 1911 明治四十四年九月一日 再版 (second edition)",Impression excellent,Colors excellent,Condition good - toning of woodblock prints mainly noticeable in margins; binding loose but largely in tact,Genre shasei kikō (sketch-tour); illustrated book zuroku 図録,,,H x W Paper H x W x D Book Closed: 8 7/8 × 5 7/8 x 11/16 in. (22.2 x 14.9 x 1.7 cm),"Reference Literature ""Sketch-tour Books and Print of the Early Books Twentieth Century"" by Scott Johnson, appearing in Andon 37, June 1991.","Collections This Book National Diet Library 765548 Call No. 330-27 (Yamato volume);Freer|SacklerFSC-GR-780.910.1-6; Rijksmuseum RP-P-2005-584A; The National Museum of Modern Art, Kyoto M00778; The British Museum 1991,1112,0.137.1",IHL.2034,IHL.2034,IHL Catalog #2034,,,,Image;StillImage,image/jpeg,ihl-2034.jpg,ihl-2034_th.jpg,,ihl-2034_sm.jpg,
ihl-2035,,,,I Love You B,I Love You B,,1975,1975,1975,Ay-O 靉嘔 (b. 1931), Ay-O and '75 (pencil lower right),,I Love You B,,likely self-published,,Printer 搨師助田憲亮 master printer Sukeda Kenryō,,,1975,Impression excellent,Colors excellent,Condition excellent - work is framed and not examined out of frame,Genre modern print - silkscreen,,H x W Image 25 7/8 x 17 7/8 in. (65.7 x 45.4 cm),H x W Paper not measured out of frame,"Reference Literature AY-O’s Rainbow Prints Catalogue Raisonne 1954-1979, Sadajirō Kubo, Sohbun-sha, p. 160-161, cat. no. 278.","Collections This Print The British Museum1986,0321,0.71",IHL.2035,IHL.2035,IHL Catalog #2035,,,,Image;StillImage,image/jpeg,ihl-2035.jpg,ihl-2035_th.jpg,,ihl-2035_sm.jpg,https://pages.uoregon.edu/jsmacollections/home/artists/ay-o-b-1931/i-love-you-b.html
ihl-2036,,,,Shade of a Tree,Shade of a Tree,,1972,1972,1972,Ida Shōichi 井田照一 (1941-2006), pencil signed S. Ida,of the Artist no seal,Shade of a Tree,,self-published,,,,,1972,Impression excellent,Colors excellent,Condition excellent,Genre sōsaku hanga; contemporary,,H x W Image 21 1/4 x 27 3/8 in. (54 x 69.5 cm),H x W Paper 22 x 28 in. (55.9 x 71.1 cm),"Reference Literature Shoichi Ida, Prints in the Collection of the National Museum of Modern Art, Kyoto, National Museum of Modern Art, Kyoto, 2012, p. 35, cat. no.62.","Collections This Print The National Museum of Modern Art, Kyoto P00970",IHL.2036,IHL.2036,IHL Catalog #2036,,,,Image;StillImage,image/jpeg,ihl-2036.jpg,ihl-2036_th.jpg,,ihl-2036_sm.jpg,https://pages.uoregon.edu/jsmacollections/home/artists/ida-shoichi-1941-2006-1/shade-of-a-tree.html
ihl-2037,,,,Measure and Pig,Measure and Pig,,1972,1972,1972,Ida Shōichi 井田照一 (1941-2006), pencil signed S. Ida,of the Artist no seal,Measure and Pig,,self-published,,,,,1972,Impression excellent,Colors excellent,Condition excellent - mounting tape verso top corners,Genre sōsaku hanga; contemporary,,H x W Image 21 1/4 x 28 1/8 in. (54 x 71.4 cm),H x W Paper 21 1/4 x 28 1/8 in. (54 x 71.4 cm),"Reference Literature Shoichi Ida, Prints in the Collection of the National Museum of Modern Art, Kyoto, National Museum of Modern Art, Kyoto, 2012, p. 35, cat #63.","Collections This Print The National Museum of Modern Art, Kyoto SI-014; The British Museum 1986,0321,0.248; Fine Arts Museums of San Francisco 2012.76.6",IHL.2037,IHL.2037,IHL Catalog #2037,,,,Image;StillImage,image/jpeg,ihl-2037.jpg,ihl-2037_th.jpg,,ihl-2037_sm.jpg,https://pages.uoregon.edu/jsmacollections/home/artists/ida-shoichi-1941-2006-1/measure-and-pig.html
ihl-1948,,,,Valiant Battle at Jiuliancheng九連城勇戦図 Kyūrenjō yūsen zu,Valiant Battle at Jiuliancheng九連城勇戦図 Kyūrenjō yūsen zu,,October 1894 (Meiji 27)明治二十七年,1894,October 1894 (Meiji 27)明治二十七年,Unread - can be read Hōei,,,Valiant Battle at Jiuliancheng九連城勇戦図 Kyūrenjō yūsen zu,,秋山武右衛門Akiyama Buemon [Marks: seal not shown; pub. ref. 005],,,,,October 1894 (Meiji 27)明治二十七年,,Colors excellent,"Condition good - minor soiling and toning, three sheets attached; backed",Genre nishiki-e-e;senso-e(Sino-Japanese War),Format vertical ōban triptych,H x W Image 14 1/8 x 28 3/8 in. (35.9 x 72.1 cm),H x W Paper 14 3/8 x 28 5/8 in. (36.5 x 72.7 cm),Literature,"Collections This Print Museum of Fine Arts, Boston2000.361a-c; RijksmuseumRP-P-2010-310-54",IHL.1948,IHL.1948,IHL Catalog #1948,,,,Image;StillImage,image/jpeg,ihl-1948.jpg,ihl-1948_th.jpg,,ihl-1948_sm.jpg,
ihl-2039,,,,New Skin Shin hada新膚,New Skin Shin hada新膚,"from the magazineHan geijutsu(Print Art), Volume 5 版芸術　第5号　8月号",originally August 1932; this print likely April 1933,1932,originally August 1932; this print likely April 1933,Onchi Kōshirō 恩地孝四郎 (1891-1955), not signed,no seal,Title New Skin Shin hada新膚,,Shiro to Kurosha白と黒社 [the company ofRyōji Chōmei (1899-1982],Onchi Kōshirō,Printer Takahashi Kobo (originally Hirakawa Seizō 平川清蔵),,,originally August 1932; this print likely April 1933,Impression excellent,Colors excellent,Condition excellent,Genre sōsaku hanga,,H x W Image 8 5/8 x 5 3/4 in. (21.9 cm x 14.6 cm),H x W Paper 9 1/8 x 6 3/8 in. (23.2 cm x 16.2 cm),"Reference Literature Prints of Onchi Koshiro, Keishosha Ltd., 1975. (a limited edition of 170 copies), fig. 152.","Collections This Print Honolulu Museum of Art 16704 (likely the Hirai edition), British Museum 1988,0315,0.50 (the Hirai edition)",IHL.2039,IHL.2039,IHL Catalog #2039,,,,Image;StillImage,image/jpeg,ihl-2039.jpg,ihl-2039_th.jpg,,ihl-2039_sm.jpg,
ihl-1949,,,,"(Description) Illustration of The Sino-Japanese War, Anseong Crossing, Korea朝鮮安城渡日清戦争ノ図","(Description) Illustration of The Sino-Japanese War, Anseong Crossing, Korea朝鮮安城渡日清戦争ノ図",,August 1894 (Meiji 27)明治廿七年八月,1894,August 1894 (Meiji 27)明治廿七年八月,Utagawa Kunimasa IV 四代 歌川国政 (1848-1920),,,"Title (Description) Illustration of The Sino-Japanese War, Anseong Crossing, Korea朝鮮安城渡日清戦争ノ図",,奥田忠兵衛 Okuda Chūbei (address in浅草区 Asakusa-ku) Marks reference: seal and not shown.,,,,,August 1894 (Meiji 27)明治廿七年八月,,Colors excellent,Condition good - three sheets joined; album backing; vertical fold center sheet,Genre nishiki-e; senso-e,Format vertical ōban triptych,H x W Image 14 x 28 1/4 in. (35.6 x 71.8 cm),H x W Paper 14 1/4 x 28 1/2 in. (36.2 x 72.4 cm),Literature,Collections This Print,IHL.1949,IHL.1949,IHL Catalog #1949,,,,Image;StillImage,image/jpeg,ihl-1949.jpg,ihl-1949_th.jpg,,ihl-1949_sm.jpg,
ihl-2041,cew added 20220302 -needs extra cleaning,,CN Complete,"In Queue - 19th Century Woodblock Prints
Ukiyo-e and Other 19th Century Woodblock Prints
In the Collection - Not Yet Fully Documented
as of 9/1/2021
",Pine branches and poem (surimono), ,1865,1865,c. 1865-1880s,Shibata Zeshin 柴田是真 (1807-1891),n.a.,n.a.,,n.a.,n.a.,n.a.,n.a.,,,,n.a.,n.a.,n.a.,n.a.,n.a.,image: 4 1/16 x 10 11/16 in.,sheet: 4 1/4 x 10 13/16 in.,n.a.,n.a.,IHL.2041,IHL.2041,IHL Catalog #2041,,,,Image;StillImage,image/jpeg,ihl-2041.jpg,ihl-2041_th.jpg,,ihl-2041_sm.jpg,
ihl-2042,cew added 20220302 -needs extra cleaning,,CN Complete,"In Queue - 19th Century Woodblock Prints
Ukiyo-e and Other 19th Century Woodblock Prints
In the Collection - Not Yet Fully Documented
as of 9/1/2021
",Morning glory flowers and calligraphy brush with cushion and poem (surimono),n.a.,,1865,c. 1865-1880s,Shibata Zeshin 柴田是真 (1807-1891),n.a.,n.a.,,n.a.,n.a.,n.a.,n.a.,,,,n.a.,n.a.,n.a.,n.a.,n.a.,image: 6 1/16 x 10 3/8 in.,sheet: 6 5/16 x 11 3/16 in.,n.a.,n.a.,IHL.2042,IHL.2042,IHL Catalog #2042,,,,Image;StillImage,image/jpeg,ihl-2042.jpg,ihl-2042_th.jpg,,ihl-2042_sm.jpg,
ihl-2043,cew added 20220302 -needs extra cleaning,,CN Complete,"In Queue - 19th Century Woodblock Prints
Ukiyo-e and Other 19th Century Woodblock Prints
In the Collection - Not Yet Fully Documented
as of 9/1/2021
",Morning glory vine with cushion and poem (surimono),n.a.,,1877,August 1877,Shibata Zeshin 柴田是真 (1807-1891),n.a.,n.a.,,n.a.,n.a.,n.a.,n.a.,,,,n.a.,n.a.,n.a.,n.a.,n.a.,image: 6 5/8 x 10 3/16 in.,sheet: 6 7/8 x 10 11/16 in.,n.a.,n.a.,IHL.2043,IHL.2043,IHL Catalog #2043,,,,Image;StillImage,image/jpeg,ihl-2043.jpg,ihl-2043_th.jpg,,ihl-2043_sm.jpg,
ihl-2044,cew added 20220302 -needs extra cleaning,,CN Complete,"In Queue - 19th Century Woodblock Prints
Ukiyo-e and Other 19th Century Woodblock Prints
In the Collection - Not Yet Fully Documented
as of 9/1/2021
",Lacquer tray with objects and poems (surimono),n.a.,,1869,January 1869 or January 1870,Shibata Zeshin 柴田是真 (1807-1891),n.a.,n.a.,,n.a.,n.a.,n.a.,n.a.,,,,n.a.,n.a.,n.a.,n.a.,n.a.,image: 7 5/8 x 20 5/16 in., sheet: 7 5/8 x 20 7/8 in.,n.a.,n.a.,IHL.2044,IHL.2044,IHL Catalog #2044,,,,Image;StillImage,image/jpeg,ihl-2044.jpg,ihl-2044_th.jpg,,ihl-2044_sm.jpg,
ihl-2045,cew added 20220302 -needs extra cleaning,,CN Complete,"In Queue - 19th Century Woodblock Prints
Ukiyo-e and Other 19th Century Woodblock Prints
In the Collection - Not Yet Fully Documented
as of 9/1/2021
",Samurai and courtier gazing at bird,n.a.,,n.d.,n.d.,Shibata Zeshin 柴田是真 (1807-1891),n.a.,n.a.,,n.a.,n.a.,n.a.,n.a.,,,,n.a.,n.a.,n.a.,n.a.,n.a.,image: 7 3/4 x 4 1/2 in.,sheet: 8 7/8 x 5 1/16 in.,n.a.,n.a.,IHL.2045,IHL.2045,IHL Catalog #2045,,,,Image;StillImage,image/jpeg,ihl-2045.jpg,ihl-2045_th.jpg,,ihl-2045_sm.jpg,
ihl-2046,,,CN Complete,"Illustrations for Chapters 2, 6 and 13 from the novel Shin'yaku Genji Monogatari, jōkan (New Translation of The Tale of Genji, first volume) woodblocks by Nakazawa Hiromitsu, 1913","Illustrations for Chapters 2, 6 and 13 from the novel Shin'yaku Genji Monogatari","New Translation of The Tale of Genji, first volume Shin'yaku Genji Monogatari, jōkan 新訳源氏物語 上巻",,1913,1913,Nakazawa Hiromitsu 中沢弘光 (1874-1964),not signed,弘 Hiro,"IHL Catalog #2270, #2101, #2046

Three color woodblock illustrations from the first volume of Shin'yaku Genji Monogatari, Yosano Akiko's
与謝野晶子 (1878-1942) translation into modern colloquial Japanese of The Tale of Genji (Genji monogatari), written by Murasaki Shikibu 紫式部著 in the early 11th century. 

The color woodblock illustrations for the four books comprising Shin'yaku Genji Monogatari were stitched into the books and it is likely, though no definitive proof exists, that the publisher Kanao Tanejirō printed additional copies of the woodblock illustrations to be sold as single sheet prints. This collection's three prints would be examples of this, as they do not display any evidence of having been removed from a bound volume nor do they display any of the toning present on many of prints bound into the books due to contact with their acidic translucent protective sheets also bound into the original volumes.
         
",,發行者 金尾種次郎 publisher Kanao Tanejirō 發兌元 金尾文淵堂 publishing house Kanao Bun'endō,"Carver Okada Seijirō 岡田清次郎 




 ",Printer Nishimura Kumakichi 西村熊吉 and Takagi Seikō (Kiyomitsu) 高木淸光,,,,Impression excellent,Colors excellent,Condition excellent,Genre shin hanga,,H x W Image 5 7/8 x 3 5/8 in. (14.9 x 9.2 cm),H x W Paper 7 5/16 x 4 7/8 in. (18.6 x 12.4 cm),,Collections This Print University of California Berkeley Call No. A43.1 (four volumes),IHL.2046,IHL.2046,IHL Catalog #2046,,,,Image;StillImage,image/jpeg,ihl-2046.jpg,ihl-2046_th.jpg,,ihl-2046_sm.jpg,
ihl-2047,cew added 20220302 -needs extra cleaning,,CN Complete,"In Queue - Books, Bookplates and Magazines
Books, Bookplates and Magazines
In the Collection - Not Yet Fully Documented
as of 9/1/2021","Page (showing recto and verso) from Chōjū ryakugashiki (Simplified Forms of Drawing Birds and Flowers), early edition",Chōjū ryakugashiki (Simplified Forms of Drawing Birds and Flowers),,1797,(orig. 1797),unknown,n.a.,n.a.,,n.a.,n.a.,n.a.,n.a.,,,,n.a.,n.a.,n.a.,n.a.,n.a.,image: 7 15/16 x 6 in., sheet: 7 15/16 x 6 in.,n.a.,n.a.,IHL.2047,IHL.2047,IHL Catalog #2047,,,,Image;StillImage,image/jpeg,ihl-2047.jpg,ihl-2047_th.jpg,,ihl-2047_sm.jpg,
ihl-1950,,,,(Description) Illustration of a Scouting Patrol in a Skirmish in the Vicinity of Port Arthur旅順口附近我斥候進撃之図 Ryojunkō fukin waga sekkō shingeki no zu,(Description) Illustration of a Scouting Patrol in a Skirmish in the Vicinity of Port Arthur旅順口附近我斥候進撃之図 Ryojunkō fukin waga sekkō shingeki no zu,,"Pub. Date September 29, 1894 (Meiji 27) 明治廿七年廿九月",1894,"Pub. Date September 29, 1894 (Meiji 27) 明治廿七年廿九月",Utagawa Kokunimasa 歌川小国政 (1874-1944),,,Title (Description) Illustration of a Scouting Patrol in a Skirmish in the Vicinity of Port Arthur旅順口附近我斥候進撃之図 Ryojunkō fukin waga sekkō shingeki no zu,,"長谷川園吉 Hasegawa Sonokichi [Marks: 30-046, ref. 071]",,,,,"Pub. Date September 29, 1894 (Meiji 27) 明治廿七年廿九月",,Colors excellent,Condition good - backing paper; three sheets attached; minor loss where sheets are attached,Genre nishiki-e; senso-e,Format vertical ōban triptych,H x W Image 14 1/8 x 27 1/4 in. (35.9 x 69.2 cm),H x W Paper 14 5/16 x 27 1/2 in. (36.4 x 69.9 cm),Literature,Collections This Print British Library Shelfmark16126.d.2(66),IHL.1950,IHL.1950,IHL Catalog #1950,,,,Image;StillImage,image/jpeg,ihl-1950.jpg,ihl-1950_th.jpg,,ihl-1950_sm.jpg,
ihl-2049,cew added 20220302 -needs extra cleaning,,CN Complete,"In Queue - 19th Century Woodblock Prints
Ukiyo-e and Other 19th Century Woodblock Prints
In the Collection - Not Yet Fully Documented
as of 9/1/2021
",The Fight between Hideyoshi and Ito Hyuganokami from the series Newly Selected Records of Hideyoshi 新撰太閤記 秀吉伊東日向守を打取る図 \,n.a.,,1883,1883,"Utagawa Toyonobu 歌川豊宣
(1859–1886)",n.a.,n.a.,,n.a.,n.a.,n.a.,n.a.,,,,n.a.,n.a.,n.a.,n.a.,n.a.,image (entire diptych): 13 7/16 x 18 7/8 in., sheet (entire diptych): 13 7/16 x 19 1/8 in.,n.a.,n.a.,IHL.2049,IHL.2049,IHL Catalog #2049,,,,Image;StillImage,image/jpeg,ihl-2049.jpg,ihl-2049_th.jpg,,ihl-2049_sm.jpg,
ihl-2050,,,,Symbol No. 2 (象徴Shōchō),Symbol No. 2 (象徴Shōchō),,1957,1957,1957,Maki Haku 巻白 (1924-2000),,,Symbol No. 2 (象徴Shōchō),,International Graphic Arts Society,self-carved,Printer self-printed,,,1957,Impression excellent,Colors excellent,Condition excellent,Genre sōsaku hanga,,H x W Image 17 x 12 7/16 in. (43.2 x 31.6 cm),H x W Paper 19 9/16 x 15 1/4 in. (49.7 x 38.7 cm),"Reference Literature The Life and Works of Haku Maki,Daniel Tretiak, Outskirt Press, Inc., 2007, p. 35.","Collections This Print Museum of Modern Art, 64.1959; Philadelphia Museum of Art1959-51-15; Yale University Art Museum 2009.215.14; Albion College 1963.070",IHL.2050,IHL.2050,IHL Catalog #2050,,,,Image;StillImage,image/jpeg,ihl-2050.jpg,ihl-2050_th.jpg,,ihl-2050_sm.jpg,
ihl-2051,cew added 20220302 -needs extra cleaning,,CN Complete,"In Queue - Books, Bookplates and Magazines
Books, Bookplates and Magazines
In the Collection - Not Yet Fully Documented
as of 9/1/2021",woodblock reproduction of woodblock prints originally created for the 1857 translation of The Life and Strange Surprising Adventures of Robinson Crusoe,The Life and Strange Surprising Adventures of Robinson Crusoe (original series 1857),,n.d.,n.d.,Kawakami Tōgai 川上冬崖 (1828-1881),n.a.,n.a.,,n.a.,n.a.,n.a.,n.a.,,,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,sheet: 5 3/4 x 8 3/4 in.,n.a.,n.a.,IHL.2051,IHL.2051,IHL Catalog #2051,,,,Image;StillImage,image/jpeg,ihl-2051.jpg,ihl-2051_th.jpg,,ihl-2051_sm.jpg,
